** Analysing toSortedArray() speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,4
small-town.txt,44892,1000,6
town.txt,451617,10000,31
large-town.txt,2255053,50000,245
city.txt,4511688,100000,438
large-city.txt,22554540,500000,2464
metropolis.txt,45107513,1000000,5609
capital.txt,90209834,2000000,13656
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,0
town.txt,451617,10000,37
large-town.txt,2255053,50000,197
city.txt,4511688,100000,318
large-city.txt,22554540,500000,1794
metropolis.txt,45107513,1000000,4488
capital.txt,90209834,2000000,9725
